CellID;cellType;HIF1A;ATP1A2;FGFR3;LMO3;TGFBI;ANXA2;EGFR;MBP;SOX9;STMN2;dimension 1;dimension 2;dimension 3;Dataset
GSM1657871;Oligodendrocyte;0;0;0;34.687504;0;3.0163047;0;449.42938;27.146742;0;-6.480491;-15.350036;3.0443702;Atlas
GSM1657873;Oligodendrocyte;0;0;0;0;0;0;0;1224.404;0;0;-6.4834948;-15.352261;3.0402377;Atlas
GSM1657876;Oligodendrocyte;5.6445193;110.06813;11.289039;1281.3059;0;64.91197;0;152.40202;265.29242;0;-4.616235;-4.700926;-0.05338296;Atlas
GSM1657877;Oligodendrocyte;0;12.29793;0;0;0;0;0;1531.0923;0;0;-6.488632;-15.375754;3.0082784;Atlas
GSM1657881;Oligodendrocyte;0;338.12045;0;0;0;1.7610439;0;369.8192;0;17.61044;-6.451923;-15.409069;3.0221174;Atlas
GSM1657885;Astrocyte;0;3941.7803;47.88799;1640.1637;0;0;0;107.74798;0;0;-5.7723536;0.78659254;-6.4542255;Atlas
GSM1657889;Oligodendrocyte;142.95502;0;0;0;0;0;0;1202.8828;0;0;-6.4684362;-15.39568;3.0126588;Atlas
GSM1657890;Oligodendrocyte;1.8007214;0;0;0;0;0;0;464.58612;174.66997;0;-6.420337;-15.450664;2.997476;Atlas
GSM1657891;Oligodendrocyte;0;0;0;12.139736;0;0;0;1641.5621;0;63.3964;-6.5037694;-15.356396;3.0377648;Atlas
GSM1657892;Oligodendrocyte;0;0;0;2.3376474;0;0;0;1302.0696;0;0;-6.457769;-15.409436;3.0250285;Atlas
GSM1657893;OPC;305.86005;482.31775;0;242.33527;0;9.411078;0;72.93586;0;0;-4.6306553;-4.709936;-0.0657557;Atlas
GSM1657894;Oligodendrocyte;0;0;0;0;0;0;0;1209.7498;241.29779;3.260781;-6.4630175;-15.403964;3.0254564;Atlas
GSM1657898;Oligodendrocyte;0;0;0;509.13794;0;81.26306;0;0;0;1610.3353;-6.5326195;-1.9651302;-8.000226;Atlas
GSM1657899;Oligodendrocyte;1398.9075;0;0;0;0;0;0;543.42175;66.35843;0;-6.4684463;-15.400506;3.011869;Atlas
GSM1657900;Oligodendrocyte;0;0;0;0;0;0;0;765.11237;0;0;-6.468364;-15.400976;3.0240538;Atlas
GSM1657901;Oligodendrocyte;0;0;0;0;0;0;0;1061.6608;114.14026;6.2542605;-6.467703;-15.396497;3.0174396;Atlas
GSM1657902;Oligodendrocyte;4.913341;11.055017;0;1.2283353;0;0;1.2283353;716.11945;11.055017;0;-6.455812;-15.419666;3.0457711;Atlas
GSM1657903;OPC;3.4167943;10.250382;0;5.125191;0;0;0;3.4167943;0;0;-4.5794024;-4.688999;-0.059831653;Atlas
GSM1657904;OPC;326.2158;432.80115;0;0;0;0;0;571.6851;0;0;-4.606061;-4.6941967;-0.04969015;Atlas
GSM1657906;OPC;3.675518;1130.2218;0;9.188795;0;0;0;25.728626;0;0;-4.6385217;-4.6929455;-0.04709766;Atlas
GSM1657907;OPC;0;465.88278;62.58127;0;0;0;0;9.271299;50.992146;0;-4.620415;-4.7017307;-0.057207827;Atlas
GSM1657908;OPC;91.69685;147.96538;0;2379.95;0;0;10.420096;29.176271;0;0;-4.621802;-4.701688;-0.058392465;Atlas
GSM1657909;OPC;2865.506;4.401699;0;0;0;0;0;0;0;0;5.1669765;-3.2527173;-3.2021008;Atlas
GSM1657910;microglia;0;3.5275111;0;0;0;0;0;0;0;0;5.1632605;-3.2327118;-3.2132664;Atlas
GSM1657911;OPC;0;28.902105;0;0;0;3.211345;115.60842;64.2269;0;0;-4.6271663;-4.6987014;-0.056525126;Atlas
GSM1657913;OPC;1374.048;736.52136;0;0;0;0;0;21.778858;0;0;-4.609943;-4.6950974;-0.054439377;Atlas
GSM1657914;OPC;0;5.332139;0;0;0;0;191.957;42.657112;0;0;-4.622686;-4.689727;-0.04714;Atlas
GSM1657915;OPC;124.04749;499.7342;7.088428;0;0;0;3.544214;10.632642;14.176856;0;-4.6235766;-4.691827;-0.051518817;Atlas
