"","nGene","nReads","orig.ident","percent.mito","percent.ERCC","percent.ribo","res.0.6","plate","cell_ontology_class","tsne_1","tsne_2","tsne_3"
"B21.MAA000574.3_8_M.1.1",2840,4847712,"Combined",0,0.017154790083784,0.00376899452772772,"10","MAA000574","udf",-30.3633561422939,4.67522281207966,-3.83190401560593
"D12.MAA000574.3_8_M.1.1",331,968409,"Combined",0,0.151304581019687,0.00360797968626892,"0","MAA000574","udf",-0.0139595300739718,2.87997420586388,26.8283530179132
"B22.MAA000574.3_8_M.1.1",2513,5718214,"Combined",0,0.0129151711918733,0.00342099823476351,"10","MAA000574","udf",-30.3525032532706,4.75529165891667,-3.75971154715868
"D13.MAA000574.3_8_M.1.1",4150,1949024,"Combined",0,0.0189246056115412,0.019866866698409,"11","MAA000574","leukocyte",-25.5296049712832,-10.881877035767,3.99275394165458
"C1.MAA000574.3_8_M.1.1",210,336657,"Combined",0,0.360306985458284,0.000983196547227594,"0","MAA000574","udf",-4.74983773090095,-5.1211445474257,23.6059715535129
"D14.MAA000574.3_8_M.1.1",1468,1255494,"Combined",0,0.0231443154585914,0.00236162020686678,"7","MAA000574","pancreatic acinar cell",-10.55675468338,18.353195360147,10.0933220265728
"C2.MAA000574.3_8_M.1.1",4661,3713106,"Combined",0,0.00666502586931049,0.00409791694608234,"0","MAA000574","udf",0.682424360780432,-5.13587058694583,21.350685233857
"C4.MAA000574.3_8_M.1.1",436,575092,"Combined",0,0.361720924657382,0.00556780480340537,"0","MAA000574","udf",-0.927656312884621,-2.7676482537527,26.1131800921652
"A1.MAA000574.3_8_M.1.1",930,18547,"Combined",0,0.000969566388365203,0.00841106378390036,"7","MAA000574","udf",-13.0912338115241,13.8524862802628,14.1145697207916
"C5.MAA000574.3_8_M.1.1",1085,769579,"Combined",0,0.170241074403244,0.000479482938073934,"7","MAA000574","pancreatic acinar cell",-11.7447766310589,14.9509566448479,12.9104335090594
"A3.MAA000574.3_8_M.1.1",2694,95612,"Combined",0,0.00743293746366581,0.10726687026733,"12","MAA000574","pancreatic PP cell",-6.57460279896139,-33.8311004316417,0.750776864994925
"C7.MAA000574.3_8_M.1.1",2777,2288059,"Combined",0,0.0194296210330351,0.00422760077428073,"9","MAA000574","udf",-5.13824656125693,14.5775167318752,-17.7254080473624
"A4.MAA000574.3_8_M.1.1",214,7523,"Combined",0,0.109493371212121,0.00212681111258806,"0","MAA000574","udf",-8.38552233775122,-8.98471756741513,19.5295395676217
"C8.MAA000574.3_8_M.1.1",3052,2743973,"Combined",0,0.0234248656128283,0.00178390968132704,"2","MAA000574","udf",7.73630781725421,-15.8884021358458,-18.9452944689768
"A5.MAA000574.3_8_M.1.1",144,1143,"Combined",0,0.0338123415046492,0.00437445319335083,"6","MAA000574","udf",-12.6279505087387,-12.1847785482912,11.2930329041445
"C10.MAA000574.3_8_M.1.1",286,1286472,"Combined",0,0.245701902408764,0.00366894887723946,"0","MAA000574","udf",0.67719171193734,2.06841934449569,26.9186665397208
"A6.MAA000574.3_8_M.1.1",249,1538,"Combined",0,0.0128369704749679,0.00975292587776333,"6","MAA000574","udf",-12.3292451218653,-11.055327861988,12.9395033922959
"C11.MAA000574.3_8_M.1.1",2043,1418763,"Combined",0,0.0198569125102072,0.00188403560002622,"7","MAA000574","pancreatic acinar cell",-10.9323090771341,19.0306704687014,9.04825163361014
"C12.MAA000574.3_8_M.1.1",5075,2725303,"Combined",0,0.00682571966153468,0.00780537063218292,"1","MAA000574","udf",3.78055921872737,-10.7486518017884,-18.3348441520395
"A7.MAA000574.3_8_M.1.1",873,4155,"Combined",0,0.0498513606219986,0.0209386281588448,"6","MAA000574","udf",-14.2785956874605,-18.517689012013,3.32088974619366
"A8.MAA000574.3_8_M.1.1",95,144,"Combined",0,0.613941018766756,0.0416666666666667,"6","MAA000574","udf",-13.9071655345987,-14.7991256312078,7.1302271743993
"C15.MAA000574.3_8_M.1.1",1081,408418,"Combined",0,0.283826484626796,0.00238970858287343,"7","MAA000574","pancreatic acinar cell",-12.1784524645171,16.3421556201248,11.8171233513196
"C16.MAA000574.3_8_M.1.1",6522,1211581,"Combined",0,0.00328568784320178,0.0108998077718287,"5","MAA000574","pancreatic ductal cell",-17.6417615046346,1.05715798660388,-24.810559270486
"B2.MAA000574.3_8_M.1.1",6076,3379881,"Combined",0,0.00413739498509542,0.00409896088057538,"2","MAA000574","udf",5.00317380375518,-11.780835257432,-19.4803279282003
"B5.MAA000574.3_8_M.1.1",4310,6740792,"Combined",0,0.00329951899326744,0.00537889316270254,"10","MAA000574","udf",-30.0971007369329,4.33257018154367,-3.65132156373148
"C17.MAA000574.3_8_M.1.1",1839,1666228,"Combined",0,0.0288116694517967,0.00173805745672261,"7","MAA000574","pancreatic acinar cell",-10.9016167056854,19.2574966509915,8.36150106532401
"B6.MAA000574.3_8_M.1.1",2668,767619,"Combined",0,0.0128356481481481,0.001367866089818,"2","MAA000574","type B pancreatic cell",5.25438090016334,-12.3688751030996,-19.275751188308
"C18.MAA000574.3_8_M.1.1",1996,3026395,"Combined",0,0.00461055784197739,0.00244151870459738,"0","MAA000574","udf",0.428469366004004,5.72664165869849,26.5172751607544
"B7.MAA000574.3_8_M.1.1",102,146,"Combined",0,0.00680272108843537,0.0205479452054795,"6","MAA000574","udf",-14.1033760317622,-13.2520092328074,7.12298745035045
"C19.MAA000574.3_8_M.1.1",545,1147120,"Combined",0,0.200671727852666,0.00631145826068764,"0","MAA000574","pancreatic acinar cell",0.350884542784307,2.48089546497791,26.8845579207517
"C20.MAA000574.3_8_M.1.1",2720,3023872,"Combined",0,0.0309074762692076,0.00946633984507281,"10","MAA000574","udf",-31.4400635853844,5.27491749306431,-4.62078680920409
"B9.MAA000574.3_8_M.1.1",3605,830749,"Combined",0,0.156695888386295,0.00295997948838939,"0","MAA000574","pancreatic acinar cell",-5.2529156685603,-5.90509465341509,26.1404916890768
"B12.MAA000574.3_8_M.1.1",356,1089713,"Combined",0,0.167844845426561,0.00845176665782642,"0","MAA000574","udf",0.243508522801917,2.49706842280956,26.8818930303342
"C21.MAA000574.3_8_M.1.1",2131,1312756,"Combined",0,0.0176099762925357,0.0033738181352818,"10","MAA000574","endothelial cell",-31.6482050690876,6.51382823026158,-4.49570983413992
"B15.MAA000574.3_8_M.1.1",556,392188,"Combined",0,0.280691232491302,0.00182055544789744,"0","MAA000574","pancreatic acinar cell",-2.45105590546545,-3.40245114284573,25.5007962342961
"C22.MAA000574.3_8_M.1.1",3343,3036209,"Combined",0,0.00905593944560562,0.00766646828330988,"5","MAA000574","udf",-18.6976714870676,3.74115061487735,-17.0839530290622
"B16.MAA000574.3_8_M.1.1",7584,3773018,"Combined",0,0.00349527712365685,0.017838239838771,"5","MAA000574","udf",-18.2268636292211,1.55627015721894,-22.52954372259
"D1.MAA000574.3_8_M.1.1",3369,4127569,"Combined",0,0.0114000257714304,0.00678656129067739,"10","MAA000574","udf",-30.9623445917304,5.79686752608121,-4.2761448415912
"B17.MAA000574.3_8_M.1.1",441,586376,"Combined",0,0.291820701565812,0.00263823894565944,"0","MAA000574","udf",-0.936146327933474,-2.53230624209396,26.2350860210776
"D3.MAA000574.3_8_M.1.1",225,660118,"Combined",0,0.27141947368363,0.00256469297913403,"0","MAA000574","udf",-1.04688068222325,0.880968705877343,26.9466802940047
"B18.MAA000574.3_8_M.1.1",397,815898,"Combined",0,0.162398058491635,0.00118152023904949,"0","MAA000574","udf",-0.104394835089874,1.1269902932598,26.8678828690299
"D4.MAA000574.3_8_M.1.1",5229,7190224,"Combined",0,0.00543012700358435,0.0107597482359381,"5","MAA000574","udf",-18.8979666359692,4.177619804191,-16.26532493301
"B19.MAA000574.3_8_M.1.1",3545,1935478,"Combined",0,0.012860752366254,0.00285820866989963,"7","MAA000574","pancreatic PP cell",-5.35065957047889,14.5898528155706,-17.6347458737448
"D10.MAA000574.3_8_M.1.1",5688,6261361,"Combined",0,0.00307911538522776,0.00421473861673205,"6","MAA000574","udf",-15.1636664321003,-20.1596492395097,3.91539790474308
"B20.MAA000574.3_8_M.1.1",4100,4790065,"Combined",0,0.00883818789110528,0.00449242338047605,"12","MAA000574","udf",-4.84231453568425,-32.0347341456817,1.80439500071316
"D11.MAA000574.3_8_M.1.1",5978,6532860,"Combined",0,0.00309287412057265,0.018372810683223,"0","MAA000574","udf",-20.1129656782237,-9.07117920058677,2.2913255741639
"E22.MAA000574.3_8_M.1.1",3030,2594513,"Combined",0,0.0123665778454511,0.005659250888317,"6","MAA000574","udf",-15.8816693566671,-20.5573625259543,-4.03271493563097
"G7.MAA000574.3_8_M.1.1",3572,2035785,"Combined",0,0.00745269178882642,0.00506192942771462,"10","MAA000574","udf",-33.082336680478,4.46194951388562,-6.9192345579576
"H14.MAA000574.3_8_M.1.1",487,211639,"Combined",0,0.23133442050172,0.00281139109521402,"0","MAA000574","udf",-5.60589644890933,-6.63576080092595,22.9071079465994
"J7.MAA000574.3_8_M.1.1",361,91908,"Combined",0,0.361563789438586,0.00154502328415372,"0","MAA000574","udf",-7.43466632939407,-4.2152253732133,21.6405631389862
"K13.MAA000574.3_8_M.1.1",3874,1192191,"Combined",0,0.0223270628505261,0.00247946847443069,"2","MAA000574","type B pancreatic cell",10.0668464513533,-17.9343085733508,-19.389708118007
"F1.MAA000574.3_8_M.1.1",6016,1905216,"Combined",0,0.00717307779493387,0.0126095938728207,"5","MAA000574","pancreatic ductal cell",-17.6704581382488,1.3952104669195,-23.5147055075551
"G8.MAA000574.3_8_M.1.1",502,280107,"Combined",0,0.20731986857856,0.00376284776888832,"0","MAA000574","pancreatic acinar cell",-4.58779224267092,-3.51696994182524,23.3419373280273
"L18.MAA000574.3_8_M.1.1",376,149417,"Combined",0,0.288293909746501,0.00294477870657288,"0","MAA000574","udf",-6.7045587509174,-3.36709691903078,23.8960603999114
"H16.MAA000574.3_8_M.1.1",319,96095,"Combined",0,0.455956202478614,0.0132681200894948,"0","MAA000574","udf",-6.13981016026691,-6.16441162706444,22.8174972692549
"J8.MAA000574.3_8_M.1.1",3073,922223,"Combined",0,0.0239167248788129,0.0066122835800018,"5","MAA000574","pancreatic ductal cell",-19.2017883419339,0.907162961695094,-15.2880379749718
"K14.MAA000574.3_8_M.1.1",3324,871589,"Combined",0,0.0435940512467122,0.0212038013329677,"5","MAA000574","pancreatic ductal cell",-19.5954603682659,-1.23448634269862,-16.2545469183471
"N4.MAA000574.3_8_M.1.1",410,45112,"Combined",0,0.756121031263346,0.000310338712537684,"0","MAA000574","udf",-7.97616520799571,-8.88081498913426,19.9608455986859
"O10.MAA000574.3_8_M.1.1",207,55962,"Combined",0,0.808502119883791,0.00584325077731318,"0","MAA000574","udf",-7.53122960669675,-7.54716842552193,20.9477278333771
"P13.MAA000574.3_8_M.1.1",482,620871,"Combined",0,0.0719985770677731,0.00384943088016673,"0","MAA000574","udf",-1.88932074747328,1.27153259528734,26.8999042347318
"L19.MAA000574.3_8_M.1.1",4629,1018875,"Combined",0,0.043322435198035,0.0121035455772298,"5","MAA000574","pancreatic ductal cell",-19.4411345713417,0.63563511271871,-15.1215042256673
"F2.MAA000574.3_8_M.1.1",840,1130926,"Combined",0,0.0199107202437644,0.0021920090262316,"0","MAA000574","pancreatic acinar cell",-0.491528778445958,4.17340261689802,26.6032185484486
"G9.MAA000574.3_8_M.1.1",2061,341884,"Combined",0,0.105652519671857,0.00216447684009781,"7","MAA000574","pancreatic acinar cell",-12.4748067963837,17.2088123443004,10.6647017674562
"H18.MAA000574.3_8_M.1.1",264,409997,"Combined",0,0.246572799976478,0.00112927655568211,"0","MAA000574","udf",-2.47444717827981,-3.39788450896878,25.6337922219533
"J10.MAA000574.3_8_M.1.1",469,238970,"Combined",0,0.270180217873973,0.00334351592250073,"0","MAA000574","udf",-4.97770889751294,-2.88037078728536,23.4827849512791
"K15.MAA000574.3_8_M.1.1",230,253310,"Combined",0,0.349269144809515,0.00111720816390983,"0","MAA000574","udf",-4.31862224703916,-4.03202340527359,25.2111121157344
"L20.MAA000574.3_8_M.1.1",3565,2054482,"Combined",0,0.00803477147421954,0.00651453748438779,"12","MAA000574","udf",-6.17521819198917,-31.951314544578,2.94029928804689
